,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,2.246101e+22,107.736,0.02172406,15533.1,54.882,2975.118,77.983,0.04141339,59.541,117.582,0.10488009,50329220000000.0,12261480000000.0,7.077275e+23,50.329,945.314636,4.805,745.287,377,11158,X2.2,2011.02.14_01:56_TAI
1,2.235615e+22,93.863,-0.00194259,10914.06,44.178,1636.71,56.639,-0.0039419,50.68,99.163,0.13036661,33448540000000.0,3884153000000.0,4.733711e+23,43.479,961.502686,4.303,63.441,401,11166,M2.0,2011.03.06_14:30_TAI
2,6.039302e+22,91.233,0.00753529,9912.353,29.044,4229.148,49.56,0.01502758,41.15,100.01,-0.13113055,76312050000000.0,34306470000000.0,1.074422e+24,35.873,1934.446167,4.865,615.008,393,11164,M3.7,2011.03.06_20:12_TAI
3,2.38494e+22,109.706,0.00961968,3703.91,13.5,1505.331,47.602,0.03090698,34.321,110.939,0.00458129,31363240000000.0,19693860000000.0,1.879337e+23,28.525,970.551636,3.971,367.53,637,11226,M2.5,2011.06.06_06:41_TAI
4,1.989983e+22,109.891,0.03284878,12062.61,44.09,2547.054,73.681,0.07986514,53.27,115.866,0.32201284,43012470000000.0,44606710000000.0,5.269515e+23,43.929,1259.099854,4.777,1080.528,750,11261,M6.0,2011.08.02_13:48_TAI
5,2.240558e+22,109.474,0.03428198,12019.99,43.44,2862.191,70.452,0.07922547,51.866,118.352,-0.03461739,46755270000000.0,46375610000000.0,5.611343e+23,43.442,1285.486938,4.73,1205.011,750,11261,M9.3,2011.08.03_03:57_TAI
6,1.574615e+22,113.941,0.01458327,10300.17,37.082,1630.318,69.928,0.0357644,49.86,118.314,0.24709737,29136470000000.0,18908720000000.0,3.384889e+23,39.761,1212.428345,4.336,360.819,833,11283,X1.8,2011.09.06_22:38_TAI
7,3.790051e+22,61.66,-0.02073732,14635.0,42.289,2375.819,42.751,-0.0316551,49.339,79.403,0.07020875,35664430000000.0,35521030000000.0,8.881245e+23,43.869,1152.677368,4.436,947.592,1449,11429,X1.1,2012.03.04_04:09_TAI
8,5.332782e+22,89.149,-0.0321058,18206.98,45.66,5119.345,59.904,-0.04833915,51.177,106.736,-0.04734338,77800240000000.0,76721450000000.0,1.604684e+24,45.734,1720.481201,5.152,2130.605,1449,11429,X5.4,2012.03.06_00:24_TAI
9,5.372936e+22,89.536,-0.03300918,18189.7,46.386,5227.58,60.44,-0.04934162,51.243,107.903,-0.03644013,79464740000000.0,80033020000000.0,1.609369e+24,46.017,1736.178833,5.153,2198.94,1449,11430,X1.3,2012.03.06_01:14_TAI
10,5.639983e+22,95.573,-0.03076043,16383.31,51.824,5651.345,65.003,-0.05553329,54.025,107.621,-0.08451663,95208240000000.0,91721940000000.0,1.68714e+24,47.503,2318.047119,5.19,2385.133,1449,11429,M6.3,2012.03.08_03:53_TAI
11,4.881572e+22,102.49,-0.02874016,13537.03,45.79,4394.236,63.16,-0.05521183,51.09,109.758,0.1725615,79809420000000.0,83911770000000.0,1.236781e+24,44.024,2390.994141,4.975,1977.036,1449,11429,M8.4,2012.03.09_17:44_TAI
12,5.76152e+22,83.422,-0.01367048,8246.189,25.599,3219.169,41.314,-0.03144608,39.74,88.759,-0.08403038,61893650000000.0,53600290000000.0,9.171169e+23,33.159,1830.724365,4.643,1144.821,1449,11429,M7.9,2012.03.12_17:41_TAI
13,4.828057e+22,70.485,-0.0024137,6038.821,18.227,2197.012,33.587,-0.00647232,35.465,74.019,-0.05820522,45128880000000.0,11521760000000.0,6.006366e+23,29.107,1108.447754,4.126,180.764,1638,11476,M5.1,2012.05.16_01:47_TAI
14,3.232311e+22,97.68,0.00929457,10377.11,44.486,2664.364,62.279,0.02008233,51.61,104.361,-0.0850023,56936110000000.0,19985930000000.0,6.819108e+23,44.473,1325.51001,4.775,459.895,1750,11504,M1.2,2012.06.12_13:17_TAI
15,5.890359e+22,108.829,-0.01959575,14403.22,36.217,6764.289,68.888,-0.03278823,47.028,123.649,-0.16078921,106275600000000.0,47115540000000.0,1.476021e+24,40.172,2217.558594,5.18,1512.086,1807,11515,X1.1,2012.07.05_23:08_TAI
16,7.839914e+22,83.994,-0.01225562,11758.37,28.037,6227.629,50.381,-0.02100443,40.918,99.628,-0.19442259,97542960000000.0,37300190000000.0,1.515482e+24,35.459,2576.746582,4.963,1189.396,1807,11515,M6.9,2012.07.07_16:32_TAI
17,8.513423e+22,94.978,0.00983,12369.13,46.49,6720.502,57.943,0.02239399,53.253,98.634,0.2659336,135443700000000.0,58564760000000.0,2.279624e+24,45.792,4573.26416,5.073,1364.139,1834,11520,X1.4,2012.07.11_16:49_TAI
18,1.203519e+23,75.434,0.00586319,8107.142,24.0,6256.777,37.51,0.01279538,38.275,82.527,-0.08543855,112844000000000.0,49006970000000.0,1.798998e+24,31.981,3263.618164,4.95,979.652,1834,11520,M1.8,2012.07.16_17:15_TAI
19,8.213395e+22,88.738,-0.00183925,6376.126,17.86,4586.609,42.014,-0.00413119,35.661,92.98,-0.01216695,83787700000000.0,4527767000000.0,9.52456e+23,29.677,2705.156982,4.618,206.875,1879,11532,M6.2,2012.07.27_20:56_TAI
20,1.640408e+22,112.987,-0.01173471,7374.259,40.045,2106.434,75.921,-0.03332901,53.481,116.525,0.32023033,40469530000000.0,13525080000000.0,2.869646e+23,43.022,919.80542,4.641,343.851,2220,11618,M3.5,2012.11.20_15:30_TAI
21,1.790322e+22,112.989,-0.0111969,7501.022,31.317,1506.448,63.663,-0.02634718,45.315,113.084,0.34572527,30011160000000.0,9861210000000.0,2.722829e+23,37.535,1129.59021,4.184,306.045,2635,11719,M6.5,2013.04.10_07:16_TAI
22,2.718966e+22,84.971,-0.00270795,2930.493,9.683,1118.987,32.101,-0.00857793,28.326,87.079,-0.16292079,24308880000000.0,4841860000000.0,1.62293e+23,23.57,672.540771,3.433,112.924,2739,11745,M5.0,2013.05.21_13:32_TAI
23,2.581545e+22,108.133,-0.00838837,8095.902,36.259,2626.222,65.014,-0.02442875,49.641,113.615,0.33699983,52835140000000.0,7843014000000.0,4.803974e+23,40.944,1548.595093,4.774,374.793,3291,11875,M4.3,2013.10.21_21:20_TAI
24,3.725599e+22,96.755,0.00865832,10883.05,35.946,2530.608,50.933,0.018747,46.57,99.752,0.2006571,52764940000000.0,20976820000000.0,8.326618e+23,39.838,1520.805054,4.511,498.814,3295,11877,M9.3,2013.10.23_00:30_TAI
25,5.241538e+22,92.539,-0.01121087,10628.06,31.072,3671.849,50.835,-0.02233646,43.1,100.168,0.17250659,69887520000000.0,38450770000000.0,1.035019e+24,37.391,1930.773193,4.611,822.06,3291,11875,X1.0,2013.10.27_02:03_TAI
26,5.538624e+22,90.602,-0.00947296,10030.7,29.521,3646.043,47.98,-0.01941137,42.435,97.508,0.20636785,69291790000000.0,37142030000000.0,1.045315e+24,36.611,1926.72876,4.589,743.334,3291,11875,M5.1,2013.10.27_04:41_TAI
27,4.776452e+22,102.417,0.00844044,12895.84,44.852,4618.385,65.067,0.01723538,51.549,108.751,-0.04082112,84622660000000.0,15001350000000.0,1.200892e+24,44.19,2366.622314,4.863,591.785,3341,11890,X1.1,2013.11.07_04:26_TAI
28,3.468783e+22,106.709,0.00975525,11885.88,44.647,3347.945,66.801,0.02061596,53.168,111.594,0.23124351,64393790000000.0,11108800000000.0,8.465006e+23,44.453,2177.477295,4.598,523.125,3341,11890,X1.1,2013.11.09_05:14_TAI
29,1.123732e+23,83.953,0.00783546,11092.67,32.912,7451.458,46.996,0.01489204,44.246,92.08,0.08615489,140658500000000.0,45130250000000.0,2.28996e+24,39.183,3756.068604,5.106,1217.96,3563,11943,M4.0,2014.01.03_19:46_TAI
30,8.887493e+22,91.286,0.0146127,16349.03,50.73,7376.194,58.229,0.02751746,55.09,95.612,0.19380304,147539800000000.0,66697340000000.0,2.958335e+24,48.143,4566.675293,4.998,1990.937,3563,11944,X1.2,2014.01.06_18:32_TAI
31,1.899428e+22,112.222,0.00305002,7742.188,34.747,1735.345,65.63,0.00772371,49.065,112.411,0.12647933,35149670000000.0,3720052000000.0,3.215685e+23,39.166,1084.857788,4.178,95.389,3721,11974,M1.7,2014.02.10_03:31_TAI
32,1.149691e+22,126.345,0.01271649,7356.699,29.798,1181.389,71.478,0.03146107,46.364,130.18,0.26780155,23450990000000.0,10955760000000.0,1.764955e+23,36.277,821.931335,4.407,229.723,3894,12017,X1.0,2014.03.28_17:48_TAI
33,1.778795e+22,73.203,-0.00695545,8013.122,21.764,910.132,34.735,-0.01788919,37.233,73.493,-0.07129015,17141140000000.0,3606667000000.0,2.841888e+23,32.075,453.917938,0.0,185.731,3941,12027,M6.5,2014.04.01_14:05_TAI
34,2.91765e+22,99.791,0.00325833,9813.272,48.57,2495.747,64.769,0.00802694,55.406,102.355,0.10946603,52801480000000.0,2892100000000.0,6.496682e+23,46.568,1534.237549,4.402,162.428,3999,12036,M7.3,2014.04.17_13:03_TAI
35,3.699734e+22,76.789,0.00317375,3689.466,13.513,1733.588,33.589,0.01039741,32.857,83.531,-0.05750597,34333390000000.0,3695145000000.0,2.922863e+23,25.632,1410.516724,4.633,189.317,4000,12035,X1.3,2014.04.24_00:27_TAI
36,4.281129e+22,83.686,-0.00542484,7117.52,22.702,2676.917,42.738,-0.01202296,37.27,91.213,-0.23167101,45457220000000.0,8725597000000.0,5.515938e+23,31.048,1175.049316,4.57,316.561,4071,12051,M1.8,2014.05.05_09:03_TAI
37,7.753164e+22,92.68,0.00308389,9969.851,34.261,5121.67,51.516,0.00634874,45.373,98.381,-0.16185781,105271200000000.0,10052540000000.0,1.48699e+24,39.128,3039.433838,4.757,346.33,4197,12085,M3.1,2014.06.11_22:16_TAI
38,3.602393e+22,76.572,0.00153216,1831.877,3.839,1632.282,33.126,0.00497754,26.193,77.936,-0.0589234,32869330000000.0,2249722000000.0,1.327708e+23,21.2,535.735718,3.916,83.614,4294,12106,M1.4,2014.06.30_11:23_TAI
39,1.361912e+23,93.43,-0.00275257,19751.25,53.153,11078.554,60.1,-0.00507789,54.997,103.843,0.12284084,213700900000000.0,12705450000000.0,5.20726e+24,49.126,6830.160156,5.331,546.421,4698,12192,M4.0,2014.10.23_07:48_TAI
